Employee ID,Date/time,Labor Level Transfer,Work Rule Transfer,,Punch Type,Time Zone ID,Comment (dropdown),Comment note (optional)
781790,6/30/24 12:01 AM,,,,Out Punch,134061,,
787636,6/30/24 12:02 AM,,,,Out Punch,130050,,
763977,6/30/24 12:00 AM,,,,New Shift,134111,,
763977,6/30/24 5:00 AM,,,,Out Punch,134111,,
610840,6/30/24 12:00 AM,,,,New Shift,134111,,
610840,6/30/24 5:00 AM,,,,Out Punch,134111,,
626638,6/30/24 12:01 AM,,,,New Shift,134071,,
626638,6/30/24 5:03 AM,,,,Out Punch,134071,,
766611,6/30/24 12:12 AM,,,,New Shift,134111,,
766611,6/30/24 3:00 AM,,,,Out Punch,134111,,
624866,6/30/24 12:15 AM,,,,New Shift,134111,,
624866,6/30/24 8:35 AM,,,,Out Punch,134111,,
596775,6/30/24 12:30 AM,,,,30 Min Meal,134111,,
596775,6/30/24 5:05 AM,,,,Out Punch,134111,,
221789,6/30/24 2:30 AM,,,,New Shift,134111,,
221789,6/30/24 10:05 AM,,,,Out Punch,134111,,
766611,6/30/24 3:30 AM,,,,30 Min Meal,134111,,
766611,6/30/24 7:12 AM,,,,Out Punch,134111,,
826809,6/30/24 3:50 AM,,,,New Shift,134071,,
826809,6/30/24 10:26 AM,,,,Out Punch,134071,,
835040,6/30/24 3:56 AM,,,,New Shift,134071,,
835040,6/30/24 5:30 AM,,,,Out Punch,134071,,
778685,6/30/24 3:57 AM,,,,New Shift,134071,,
778685,6/30/24 11:28 AM,,,,Out Punch,134071,,
640203,6/30/24 3:58 AM,,,,New Shift,134111,,
640203,6/30/24 12:00 PM,,,,Out Punch,134111,,
737142,6/30/24 3:59 AM,,,,New Shift,134111,,
737142,6/30/24 8:47 PM,,,,Out Punch,134111,,
715608,6/30/24 4:00 AM,,,,New Shift,134071,,
715608,6/30/24 5:30 AM,,,,Out Punch,134071,,
838246,6/30/24 4:00 AM,,,,New Shift,134071,,
838246,6/30/24 11:01 AM,,,,Out Punch,134071,,
838224,6/30/24 4:00 AM,,,,New Shift,134041,,
838224,6/30/24 8:03 AM,,,,Out Punch,134041,,
796813,6/30/24 4:00 AM,,,,New Shift,134071,,
796813,6/30/24 5:30 AM,,,,Out Punch,134071,,
808860,6/30/24 4:00 AM,,,,New Shift,134041,,
808860,6/30/24 8:12 AM,,,,Out Punch,134041,,
825478,6/30/24 4:00 AM,,,,New Shift,134071,,
825478,6/30/24 5:30 AM,,,,Out Punch,134071,,
823363,6/30/24 4:00 AM,,,,New Shift,134111,,
823363,6/30/24 10:00 AM,,,,Out Punch,134111,,
617775,6/30/24 4:01 AM,,,,New Shift,134041,,
617775,6/30/24 8:12 AM,,,,Out Punch,134041,,
748967,6/30/24 4:03 AM,,,,New Shift,134071,,
748967,6/30/24 11:33 AM,,,,Out Punch,134071,,
575830,6/30/24 4:03 AM,,,,New Shift,134041,,
575830,6/30/24 8:52 AM,,,,Out Punch,134041,,
732445,6/30/24 4:04 AM,,,,New Shift,134041,,
732445,6/30/24 8:43 AM,,,,Out Punch,134041,,
797757,6/30/24 4:05 AM,,,,New Shift,134041,,
797757,6/30/24 8:04 AM,,,,Out Punch,134041,,
760506,6/30/24 4:06 AM,,,,New Shift,134071,,
760506,6/30/24 7:45 AM,,,,Out Punch,134071,,
733841,6/30/24 4:16 AM,,,,New Shift,134041,,
733841,6/30/24 8:01 AM,,,,Out Punch,134041,,
825718,6/30/24 4:31 AM,,,,New Shift,134041,,
825718,6/30/24 8:01 AM,,,,Out Punch,134041,,
831955,6/30/24 4:36 AM,,,,New Shift,134111,,
831955,6/30/24 7:10 PM,,,,Out Punch,134111,,
550701,6/30/24 4:40 AM,,,,New Shift,134111,,
550701,6/30/24 1:38 PM,,,,Out Punch,134111,,
523657,6/30/24 4:48 AM,,,,New Shift,134041,,
523657,6/30/24 9:13 AM,,,,Out Punch,134041,,
523219,6/30/24 4:52 AM,,,,New Shift,134041,,
523219,6/30/24 9:46 AM,,,,Out Punch,134041,,
799854,6/30/24 4:54 AM,,,,New Shift,134071,,
799854,6/30/24 10:17 AM,,,,Out Punch,134071,,
769786,6/30/24 4:54 AM,,,,New Shift,134071,,
769786,6/30/24 10:18 AM,,,,Out Punch,134071,,
803272,6/30/24 4:55 AM,,,,New Shift,134071,,
803272,6/30/24 11:12 AM,,,,Out Punch,134071,,
835010,6/30/24 4:56 AM,,,,New Shift,134111,,
835010,6/30/24 11:28 AM,,,,Out Punch,134111,,
737080,6/30/24 4:56 AM,,,,New Shift,134111,,
737080,6/30/24 11:01 AM,,,,Out Punch,134111,,
829244,6/30/24 4:57 AM,,,,New Shift,134111,,
829244,6/30/24 9:00 AM,,,,Out Punch,134111,,
799857,6/30/24 4:57 AM,,,,New Shift,134071,,
799857,6/30/24 10:18 AM,,,,Out Punch,134071,,
773485,6/30/24 4:58 AM,,,,New Shift,134111,,
773485,6/30/24 10:31 AM,,,,Out Punch,134111,,
773536,6/30/24 4:58 AM,,,,New Shift,134111,,
773536,6/30/24 10:00 AM,,,,Out Punch,134111,,
781631,6/30/24 4:58 AM,,,,New Shift,134041,,
781631,6/30/24 9:02 AM,,,,Out Punch,134041,,
779718,6/30/24 4:58 AM,,,,New Shift,134041,,
779718,6/30/24 9:47 AM,,,,Out Punch,134041,,
713651,6/30/24 4:58 AM,,,,New Shift,134111,,
713651,6/30/24 11:27 AM,,,,Out Punch,134111,,
210378,6/30/24 4:59 AM,,,,New Shift,134111,,
210378,6/30/24 11:20 AM,,,,Out Punch,134111,,
709841,6/30/24 4:59 AM,,,,New Shift,134041,,
709841,6/30/24 9:05 AM,,,,Out Punch,134041,,
829837,6/30/24 4:59 AM,,,,New Shift,134041,,
829837,6/30/24 9:46 AM,,,,Out Punch,134041,,
799738,6/30/24 4:59 AM,,,,New Shift,134071,,
799738,6/30/24 10:06 AM,,,,Out Punch,134071,,
833980,6/30/24 4:59 AM,,,,New Shift,134071,,
833980,6/30/24 9:02 AM,,,,Out Punch,134071,,
743305,6/30/24 5:00 AM,,,,New Shift,130050,,
743305,6/30/24 2:00 PM,,,,Out Punch,130050,,
834989,6/30/24 5:00 AM,,,,New Shift,134111,,
834989,6/30/24 10:02 AM,,,,Out Punch,134111,,
794883,6/30/24 5:00 AM,,,,New Shift,130050,,
794883,6/30/24 8:00 AM,,,,Out Punch,130050,,
503132,6/30/24 5:00 AM,,,,New Shift,134111,,
503132,6/30/24 10:27 AM,,,,Out Punch,134111,,
710195,6/30/24 5:00 AM,,,,New Shift,134041,,
710195,6/30/24 9:45 AM,,,,Out Punch,134041,,
839041,6/30/24 5:00 AM,,,,New Shift,134071,,
839041,6/30/24 9:01 AM,,,,Out Punch,134071,,
838332,6/30/24 5:00 AM,,,,New Shift,130050,,
838332,6/30/24 10:28 AM,,,,Out Punch,130050,,
835948,6/30/24 5:00 AM,,,,New Shift,134041,,
835948,6/30/24 9:50 AM,,,,Out Punch,134041,,
734207,6/30/24 5:00 AM,,,,New Shift,130050,,
734207,6/30/24 8:00 AM,,,,Out Punch,130050,,
586964,6/30/24 5:00 AM,,,,New Shift,134061,,
586964,6/30/24 2:00 PM,,,,Out Punch,134061,,
770290,6/30/24 5:00 AM,,,,New Shift,134111,,
770290,6/30/24 3:00 PM,,,,Out Punch,134111,,
749996,6/30/24 5:01 AM,,,,New Shift,134041,,
749996,6/30/24 9:30 AM,,,,Out Punch,134041,,
515147,6/30/24 5:01 AM,,,,New Shift,134041,,
515147,6/30/24 7:32 AM,,,,Out Punch,134041,,
683701,6/30/24 5:01 AM,,,,New Shift,134041,,
683701,6/30/24 9:17 AM,,,,Out Punch,134041,,
586416,6/30/24 5:01 AM,,,,New Shift,134041,,
586416,6/30/24 7:33 AM,,,,Out Punch,134041,,
603766,6/30/24 5:01 AM,,,,New Shift,134071,,
603766,6/30/24 10:55 AM,,,,Out Punch,134071,,
752631,6/30/24 5:01 AM,,,,New Shift,134041,,
752631,6/30/24 9:59 AM,,,,Out Punch,134041,,
797945,6/30/24 5:01 AM,,,,New Shift,134071,,
797945,6/30/24 7:30 AM,,,,Out Punch,134071,,
774488,6/30/24 5:02 AM,,,,New Shift,134111,,
774488,6/30/24 10:01 AM,,,,Out Punch,134111,,
768292,6/30/24 5:02 AM,,,,New Shift,134041,,
768292,6/30/24 9:00 AM,,,,Out Punch,134041,,
519064,6/30/24 5:03 AM,,,,New Shift,134041,,
519064,6/30/24 9:02 AM,,,,Out Punch,134041,,
750821,6/30/24 5:03 AM,,,,New Shift,134041,,
750821,6/30/24 9:40 AM,,,,Out Punch,134041,,
746450,6/30/24 5:03 AM,,,,New Shift,134041,,
746450,6/30/24 9:45 AM,,,,Out Punch,134041,,
732853,6/30/24 5:03 AM,,,,New Shift,134041,,
732853,6/30/24 10:01 AM,,,,Out Punch,134041,,
706031,6/30/24 5:03 AM,,,,New Shift,134041,,
706031,6/30/24 9:05 AM,,,,Out Punch,134041,,
767753,6/30/24 5:03 AM,,,,New Shift,134041,,
767753,6/30/24 9:05 AM,,,,Out Punch,134041,,
778684,6/30/24 5:03 AM,,,,New Shift,134071,,
778684,6/30/24 9:04 AM,,,,Out Punch,134071,,
786990,6/30/24 5:03 AM,,,,New Shift,134111,,
786990,6/30/24 10:00 AM,,,,Out Punch,134111,,
799493,6/30/24 5:04 AM,,,,New Shift,134111,,
799493,6/30/24 10:00 AM,,,,Out Punch,134111,,
800409,6/30/24 5:04 AM,,,,New Shift,134041,,
800409,6/30/24 10:02 AM,,,,Out Punch,134041,,
806293,6/30/24 5:04 AM,,,,New Shift,134111,,
806293,6/30/24 8:56 AM,,,,Out Punch,134111,,
768305,6/30/24 5:04 AM,,,,New Shift,134041,,
768305,6/30/24 9:26 AM,,,,Out Punch,134041,,
745910,6/30/24 5:07 AM,,,,New Shift,134111,,
745910,6/30/24 12:26 PM,,,,Out Punch,134111,,
804560,6/30/24 5:07 AM,,,,New Shift,134111,,
804560,6/30/24 1:13 PM,,,,Out Punch,134111,,
820257,6/30/24 5:08 AM,,,,New Shift,134061,,
820257,6/30/24 12:30 PM,,,,Out Punch,134061,,
806945,6/30/24 5:08 AM,,,,New Shift,134061,,
806945,6/30/24 12:06 PM,,,,Out Punch,134061,,
741703,6/30/24 5:09 AM,,,,New Shift,134041,,
741703,6/30/24 6:39 AM,,,,Out Punch,134041,,
835494,6/30/24 5:09 AM,,,,New Shift,134071,,
835494,6/30/24 10:00 AM,,,,Out Punch,134071,,
522305,6/30/24 5:09 AM,,,,New Shift,134041,,
522305,6/30/24 9:42 AM,,,,Out Punch,134041,,
797944,6/30/24 5:10 AM,,,,New Shift,130050,,
797944,6/30/24 8:02 AM,,,,Out Punch,130050,,
708263,6/30/24 5:14 AM,,,,New Shift,134041,,
708263,6/30/24 9:04 AM,,,,Out Punch,134041,,
771038,6/30/24 5:14 AM,,,,New Shift,134041,,
771038,6/30/24 9:03 AM,,,,Out Punch,134041,,
715126,6/30/24 5:15 AM,,,,New Shift,134041,,
715126,6/30/24 10:00 AM,,,,Out Punch,134041,,
734513,6/30/24 5:19 AM,,,,New Shift,134111,,
734513,6/30/24 10:09 AM,,,,Out Punch,134111,,
769948,6/30/24 5:28 AM,,,,New Shift,134041,,
769948,6/30/24 9:57 AM,,,,Out Punch,134041,,
836491,6/30/24 5:28 AM,,,,New Shift,134041,,
836491,6/30/24 9:40 AM,,,,Out Punch,134041,,
803082,6/30/24 5:28 AM,,,,New Shift,134071,,
803082,6/30/24 12:56 PM,,,,Out Punch,134071,,
789675,6/30/24 5:30 AM,,,,New Shift,134111,,
789675,6/30/24 9:01 AM,,,,Out Punch,134111,,
623324,6/30/24 5:30 AM,,,,New Shift,134111,,
623324,6/30/24 11:00 AM,,,,Out Punch,134111,,
602434,6/30/24 5:30 AM,,,,New Shift,134041,,
602434,6/30/24 10:00 AM,,,,Out Punch,134041,,
830252,6/30/24 5:33 AM,,,,New Shift,134071,,
830252,6/30/24 1:05 PM,,,,Out Punch,134071,,
832128,6/30/24 5:33 AM,,,,New Shift,134071,,
832128,6/30/24 11:12 AM,,,,Out Punch,134071,,
832241,6/30/24 5:34 AM,,,,New Shift,134071,,
832241,6/30/24 11:11 AM,,,,Out Punch,134071,,
626638,6/30/24 5:34 AM,,,,30 Min Meal,134071,,
626638,6/30/24 9:02 AM,,,,Out Punch,134071,,
836492,6/30/24 5:35 AM,,,,New Shift,134041,,
836492,6/30/24 9:40 AM,,,,Out Punch,134041,,
837081,6/30/24 5:35 AM,/001306/////,,,New Shift,134041,,
837081,6/30/24 10:04 AM,,,,Out Punch,134041,,
785961,6/30/24 5:39 AM,,,,New Shift,134041,,
785961,6/30/24 9:34 AM,,,,Out Punch,134041,,
529010,6/30/24 5:40 AM,,,,New Shift,134071,,
529010,6/30/24 11:09 AM,,,,Out Punch,134071,,
627067,6/30/24 5:43 AM,,,,New Shift,134111,,
627067,6/30/24 1:35 PM,,,,Out Punch,134111,,
