Employee ID,Location ID,Clock In Time,Clock In Type,Deleted,External ID,Role
781790,,6/29/2024 8:01:00 PM,Out Punch,,781790-6/30/2024 0:01-,
586964,,6/30/2024 1:00:00 AM,New Shift,,586964-6/30/2024 5:00-,
586964,,6/30/2024 10:00:00 AM,Out Punch,,586964-6/30/2024 14:00-,
820257,,6/30/2024 1:08:00 AM,New Shift,,820257-6/30/2024 5:08-,
820257,,6/30/2024 8:30:00 AM,Out Punch,,820257-6/30/2024 12:30-,
806945,,6/30/2024 1:08:00 AM,New Shift,,806945-6/30/2024 5:08-,
806945,,6/30/2024 8:06:00 AM,Out Punch,,806945-6/30/2024 12:06-,
789626,,6/30/2024 1:46:00 AM,New Shift,,789626-6/30/2024 5:46-,
789626,,6/30/2024 6:08:00 AM,Out Punch,,789626-6/30/2024 10:08-,
611287,,6/30/2024 1:53:00 AM,New Shift,,611287-6/30/2024 5:53-,
611287,,6/30/2024 7:10:00 AM,Out Punch,,611287-6/30/2024 11:10-,
833288,,6/30/2024 1:59:00 AM,New Shift,,833288-6/30/2024 5:59-,
833288,,6/30/2024 5:47:00 AM,Out Punch,,833288-6/30/2024 9:47-,
771313,,6/30/2024 2:00:00 AM,New Shift,,771313-6/30/2024 6:00-,
771313,,6/30/2024 8:53:00 AM,Out Punch,,771313-6/30/2024 12:53-,
704577,,6/30/2024 2:00:00 AM,New Shift,,704577-6/30/2024 6:00-,
704577,,6/30/2024 11:00:00 AM,Out Punch,,704577-6/30/2024 15:00-,
723841,,6/30/2024 2:00:00 AM,New Shift,,723841-6/30/2024 6:00-,
723841,,6/30/2024 10:38:00 AM,Out Punch,,723841-6/30/2024 14:38-,
736918,,6/30/2024 2:00:00 AM,New Shift,,736918-6/30/2024 6:00-,
736918,,6/30/2024 9:00:00 AM,Out Punch,,736918-6/30/2024 13:00-,
586962,,6/30/2024 2:00:00 AM,New Shift,,586962-6/30/2024 6:00-,
586962,,6/30/2024 1:30:00 PM,Out Punch,,586962-6/30/2024 17:30-,
787380,,6/30/2024 2:00:00 AM,New Shift,,787380-6/30/2024 6:00-,
787380,,6/30/2024 6:50:00 AM,Out Punch,,787380-6/30/2024 10:50-,
766614,,6/30/2024 2:02:00 AM,New Shift,,766614-6/30/2024 6:02-,
766614,,6/30/2024 6:01:00 AM,Out Punch,,766614-6/30/2024 10:01-,
708295,,6/30/2024 2:02:00 AM,New Shift,,708295-6/30/2024 6:02-,
708295,,6/30/2024 6:37:00 AM,Out Punch,,708295-6/30/2024 10:37-,
537205,,6/30/2024 2:03:00 AM,New Shift,,537205-6/30/2024 6:03-,
537205,,6/30/2024 8:36:00 AM,Out Punch,,537205-6/30/2024 12:36-,
595046,,6/30/2024 2:04:00 AM,New Shift,,595046-6/30/2024 6:04-,
595046,,6/30/2024 10:38:00 AM,Out Punch,,595046-6/30/2024 14:38-,
809160,,6/30/2024 2:04:00 AM,New Shift,,809160-6/30/2024 6:04-,
809160,,6/30/2024 6:00:00 AM,Out Punch,,809160-6/30/2024 10:00-,
780648,,6/30/2024 2:54:00 AM,New Shift,,780648-6/30/2024 6:54-,
780648,,6/30/2024 7:22:00 AM,Out Punch,,780648-6/30/2024 11:22-,
832783,,6/30/2024 2:54:00 AM,New Shift,,832783-6/30/2024 6:54-,
832783,,6/30/2024 7:51:00 AM,Out Punch,,832783-6/30/2024 11:51-,
775949,,6/30/2024 2:58:00 AM,New Shift,,775949-6/30/2024 6:58-,
775949,,6/30/2024 8:01:00 AM,Out Punch,,775949-6/30/2024 12:01-,
797336,,6/30/2024 2:58:00 AM,New Shift,,797336-6/30/2024 6:58-,
797336,,6/30/2024 9:58:00 AM,Out Punch,,797336-6/30/2024 13:58-,
755538,,6/30/2024 2:58:00 AM,New Shift,,755538-6/30/2024 6:58-,
755538,,6/30/2024 11:13:00 AM,Out Punch,,755538-6/30/2024 15:13-,
786844,,6/30/2024 2:59:00 AM,New Shift,,786844-6/30/2024 6:59-,
786844,,6/30/2024 9:09:00 AM,Out Punch,,786844-6/30/2024 13:09-,
806679,,6/30/2024 2:59:00 AM,New Shift,,806679-6/30/2024 6:59-,
