Employee ID,Location ID,Clock In Time,Clock In Type,Deleted,External ID,Role
781790,,6/30/2024 12:01:00 AM,Unknown Punch Type,,781790-6/30/24 12:01 AM-,
787636,,6/30/2024 12:02:00 AM,Unknown Punch Type,,787636-6/30/24 12:02 AM-,
763977,,6/30/2024 12:00:00 AM,Unknown Punch Type,,763977-6/30/24 12:00 AM-,
763977,,6/30/2024 5:00:00 AM,Unknown Punch Type,,763977-6/30/24 5:00 AM-,
610840,,6/30/2024 12:00:00 AM,Unknown Punch Type,,610840-6/30/24 12:00 AM-,
610840,,6/30/2024 5:00:00 AM,Unknown Punch Type,,610840-6/30/24 5:00 AM-,
626638,,6/30/2024 12:01:00 AM,Unknown Punch Type,,626638-6/30/24 12:01 AM-,
626638,,6/30/2024 5:03:00 AM,Unknown Punch Type,,626638-6/30/24 5:03 AM-,
766611,,6/30/2024 12:12:00 AM,Unknown Punch Type,,766611-6/30/24 12:12 AM-,
766611,,6/30/2024 3:00:00 AM,Unknown Punch Type,,766611-6/30/24 3:00 AM-,
624866,,6/30/2024 12:15:00 AM,Unknown Punch Type,,624866-6/30/24 12:15 AM-,
624866,,6/30/2024 8:35:00 AM,Unknown Punch Type,,624866-6/30/24 8:35 AM-,
596775,,6/30/2024 12:30:00 AM,Unknown Punch Type,,596775-6/30/24 12:30 AM-,
596775,,6/30/2024 5:05:00 AM,Unknown Punch Type,,596775-6/30/24 5:05 AM-,
221789,,6/30/2024 2:30:00 AM,Unknown Punch Type,,221789-6/30/24 2:30 AM-,
221789,,6/30/2024 10:05:00 AM,Unknown Punch Type,,221789-6/30/24 10:05 AM-,
766611,,6/30/2024 3:30:00 AM,Unknown Punch Type,,766611-6/30/24 3:30 AM-,
766611,,6/30/2024 7:12:00 AM,Unknown Punch Type,,766611-6/30/24 7:12 AM-,
826809,,6/30/2024 3:50:00 AM,Unknown Punch Type,,826809-6/30/24 3:50 AM-,
826809,,6/30/2024 10:26:00 AM,Unknown Punch Type,,826809-6/30/24 10:26 AM-,
835040,,6/30/2024 3:56:00 AM,Unknown Punch Type,,835040-6/30/24 3:56 AM-,
835040,,6/30/2024 5:30:00 AM,Unknown Punch Type,,835040-6/30/24 5:30 AM-,
778685,,6/30/2024 3:57:00 AM,Unknown Punch Type,,778685-6/30/24 3:57 AM-,
778685,,6/30/2024 11:28:00 AM,Unknown Punch Type,,778685-6/30/24 11:28 AM-,
640203,,6/30/2024 3:58:00 AM,Unknown Punch Type,,640203-6/30/24 3:58 AM-,
640203,,6/30/2024 12:00:00 PM,Unknown Punch Type,,640203-6/30/24 12:00 PM-,
737142,,6/30/2024 3:59:00 AM,Unknown Punch Type,,737142-6/30/24 3:59 AM-,
737142,,6/30/2024 8:47:00 PM,Unknown Punch Type,,737142-6/30/24 8:47 PM-,
715608,,6/30/2024 4:00:00 AM,Unknown Punch Type,,715608-6/30/24 4:00 AM-,
715608,,6/30/2024 5:30:00 AM,Unknown Punch Type,,715608-6/30/24 5:30 AM-,
838246,,6/30/2024 4:00:00 AM,Unknown Punch Type,,838246-6/30/24 4:00 AM-,
